Distance,hectometer,hm,lightyear,,1.057023456E-14,0
Distance,hectometer,hm,nautical mile,M,0.05399568035,0
Distance,hectometer,hm,nanometer,nm,100000000000,0
Distance,dekameter,dm,kilometer,km,0.01,0
Distance,dekameter,dm,hectometer,hm,0.1,0
Distance,dekameter,dm,meter,m,10,0
Distance,dekameter,dm,decimeter,,100,0
Distance,dekameter,dm,centimeter,cm,1000,0
Distance,dekameter,dm,millimeter,mm,10000,0
Distance,dekameter,dm,micrometer,µm,10000000,0
Distance,dekameter,dm,nanometer,nm,10000000000,0
Distance,dekameter,dm,mile,mi,0.006213711922,0
Distance,dekameter,dm,furlong,,0.0497097,0
Distance,dekameter,dm,yard,yd,10.9361,0
Distance,dekameter,dm,foot,ft,32.8083,0
Distance,dekameter,dm,inch,in,393.6996,0
Distance,dekameter,dm,mil,mil,393699.6,0
Distance,dekameter,dm,parsec,pc,3.240782847E-16,0
Distance,dekameter,dm,lightyear,,1.057023456E-15,0
Distance,dekameter,dm,nautical mile,M,0.005399554646,0
Distance,meter,m,kilometer,km,0.001,0
Distance,meter,m,hectometer,hm,0.01,0
Distance,meter,m,dekameter,dm,0.1,0
Distance,meter,m,decimeter,,10,0
Distance,meter,m,centimeter,cm,100,0
Distance,meter,m,millimeter,mm,1000,0
Distance,meter,m,micrometer,µm,1000000,0
Distance,meter,m,mile,mi,0.0006213711922,0
Distance,meter,m,furlong,,0.004970969538,0
Distance,meter,m,yard,yd,1.09361,0
Distance,meter,m,foot,ft,3.28083,0
Distance,meter,m,inch,in,39.36996,0
Distance,meter,m,mil,mil,39370.1,0
Distance,meter,m,lightyear,,1.057023456E-16,0
Distance,meter,m,parsec,pc,3.240782847E-17,0
Distance,meter,m,nautical mile,M,0.0005399568035,0
Distance,meter,m,nanometer,nm,1000000000,0
Distance,centimeter,cm,kilometer,km,0.00001,0
Distance,centimeter,cm,hectometer,hm,0.0001,0
Distance,centimeter,cm,dekameter,dm,0.001,0
Distance,centimeter,cm,meter,m,0.01,0
Distance,centimeter,cm,decimeter,,0.1,0
Distance,centimeter,cm,millimeter,mm,10,0
Distance,centimeter,cm,micrometer,µm,10000,0
Distance,centimeter,cm,mile,mi,0.000006213711922,0
Distance,centimeter,cm,furlong,,0.0000497097,0
Distance,centimeter,cm,yard,yd,0.0109361,0
Distance,centimeter,cm,foot,ft,0.0328083,0
Distance,centimeter,cm,inch,in,0.393700787,0
Distance,centimeter,cm,mil,mil,393.701,0
Distance,centimeter,cm,parsec,pc,3.240782847E-19,0
Distance,centimeter,cm,lightyear,,1.057023456E-18,0
Distance,centimeter,cm,nautical mile,M,0.000005399568035,0
Distance,centimeter,cm,nanometer,nm,10000000,0
Distance,millimeter,mm,kilometer,km,0.000001,0
Distance,millimeter,mm,hectometer,hm,0.00001,0
Distance,millimeter,mm,dekameter,dm,0.0001,0
Distance,millimeter,mm,meter,m,0.001,0
Distance,millimeter,mm,decimeter,,0.01,0
Distance,millimeter,mm,centimeter,cm,0.1,0
Distance,millimeter,mm,micrometer,µm,1000,0
Distance,millimeter,mm,mile,mi,0.0000006213711922,0
Distance,millimeter,mm,furlong,,0.00000497097,0
Distance,millimeter,mm,yard,yd,0.00109361,0
Distance,millimeter,mm,foot,ft,0.00328083,0
Distance,millimeter,mm,inch,in,0.03936996,0
Distance,millimeter,mm,mil,mil,39.3701,0
Distance,millimeter,mm,parsec,pc,3.240782847E-20,0
Distance,millimeter,mm,lightyear,,1.057023456E-19,0
